time_sec,frame_idx,dt_frames,mean_mag,median_mag,p90_mag,max_mag,mean_u,mean_v
16.583233333333332,497,7,3.6820883750915527,1.6047632694244385,10.721467971801758,23.429048538208008,2.4604761600494385,-1.009551763534546
16.8168,504,7,3.5029003620147705,2.3738315105438232,9.109721183776855,19.483009338378906,0.5705668926239014,-0.9850896000862122
17.050366666666665,511,7,8.539644241333008,8.59901237487793,18.718725204467773,29.756488800048828,-8.371979713439941,-0.4815357029438019
17.283933333333334,518,7,7.121723651885986,6.636802673339844,16.091846466064453,24.01042938232422,-6.769469738006592,0.40073511004447937
17.517500000000002,525,7,3.114905834197998,1.4785419702529907,9.187134742736816,19.797306060791016,2.259878396987915,-0.04524526372551918
17.751066666666667,532,7,3.3438527584075928,1.7397429943084717,9.762245178222656,19.951488494873047,2.7641046047210693,-0.0339311808347702
17.984633333333335,539,7,2.828038215637207,2.140414237976074,7.216515064239502,14.015552520751953,0.14638474583625793,-0.17838385701179504
18.2182,546,7,18.01587677001953,17.081771850585938,35.49694061279297,49.149192810058594,-17.65390968322754,0.08588919788599014
18.451766666666668,553,7,13.582183837890625,9.997047424316406,37.81715774536133,89.91172790527344,-12.44043254852295,-0.7386865615844727
18.685333333333332,560,7,12.860596656799316,9.554317474365234,33.03281021118164,61.0555419921875,-8.758329391479492,-2.3682456016540527
18.9189,567,7,10.49131965637207,9.712274551391602,25.342254638671875,44.265804290771484,1.0599430799484253,5.237435817718506
19.152466666666665,574,7,10.012822151184082,8.362817764282227,21.491840362548828,76.91173553466797,2.2802822589874268,-1.7289053201675415
19.386033333333334,581,7,6.97732400894165,5.596323490142822,16.963577270507812,43.690853118896484,1.6047139167785645,-1.4032413959503174
19.619600000000002,588,7,5.739515781402588,3.682985782623291,12.205023765563965,53.4022216796875,1.0763721466064453,-0.42241397500038147
19.853166666666667,595,7,7.5486650466918945,3.9295365810394287,21.181598663330078,60.44839859008789,5.636584758758545,-1.967354416847229
20.086733333333335,602,7,4.002104759216309,2.0260579586029053,11.962312698364258,28.912521362304688,-1.2571284770965576,-0.09229715913534164
20.3203,609,7,3.4777607917785645,1.5673658847808838,7.992427349090576,50.41139221191406,2.505953788757324,0.2044007033109665
20.553866666666668,616,7,3.6422526836395264,1.438023328781128,10.593995094299316,30.015544891357422,-0.10894045233726501,0.38961032032966614
20.787433333333333,623,7,3.6424760818481445,1.574232816696167,10.405962944030762,34.68900680541992,-0.701311469078064,0.8523057103157043
21.021,630,7,6.857348918914795,0.9582349061965942,24.42734146118164,76.67707061767578,4.959451675415039,-1.509423017501831
21.254566666666665,637,7,7.616974353790283,0.8375003933906555,25.283220291137695,57.902225494384766,6.3537468910217285,-0.12315218895673752
21.488133333333334,644,7,11.219107627868652,2.018915891647339,32.961769104003906,43.214481353759766,10.997846603393555,0.5061848759651184
21.721700000000002,651,7,10.878390312194824,3.41066837310791,30.281965255737305,39.505035400390625,10.7280855178833,0.29085007309913635
21.955266666666667,658,7,9.712347984313965,2.210811138153076,26.976369857788086,52.75028610229492,9.534587860107422,0.22916348278522491
22.188833333333335,665,7,5.351432800292969,2.246629476547241,12.638936996459961,25.755977630615234,5.210860252380371,-0.1391085684299469
22.4224,672,7,1.044159173965454,1.367845058441162,1.8728773593902588,2.930086612701416,-0.9183399081230164,-0.4652189016342163
22.655966666666668,679,7,5.600456237792969,2.307478427886963,13.387443542480469,27.27202033996582,-5.478670597076416,-0.5135142207145691
22.889533333333333,686,7,8.292257308959961,2.7879042625427246,20.813335418701172,28.22883415222168,-8.105795860290527,-0.4446936845779419
23.1231,693,7,6.5450944900512695,4.262951850891113,14.655279159545898,19.518293380737305,-6.404824256896973,-0.39454302191734314
23.356666666666666,700,7,1.9479026794433594,2.5845699310302734,3.4589083194732666,5.384616374969482,-1.9142259359359741,-0.31212517619132996
23.590233333333334,707,7,10.165176391601562,3.876338005065918,26.929744720458984,36.13338851928711,-9.974308967590332,-0.35373979806900024
23.823800000000002,714,7,9.552631378173828,2.256093978881836,31.219135284423828,63.13014602661133,-6.751297950744629,1.0853115320205688
24.057366666666667,721,7,4.464018821716309,1.5537877082824707,11.71005916595459,52.5557861328125,-2.718466281890869,-0.5273841619491577
24.290933333333335,728,7,5.05874490737915,2.1934194564819336,14.401644706726074,53.90426254272461,1.0777668952941895,0.34581810235977173
24.5245,735,7,3.6106605529785156,1.5784324407577515,10.195252418518066,30.74211311340332,-1.2645492553710938,-0.2735266089439392
24.758066666666668,742,7,2.807851552963257,1.1844813823699951,8.205227851867676,33.10205841064453,-2.0437052249908447,0.42509278655052185
24.991633333333333,749,7,2.677612781524658,1.531090497970581,7.104143142700195,19.270112991333008,-1.0067967176437378,-0.12452463060617447
25.2252,756,7,4.998131275177002,2.4119911193847656,14.374650001525879,62.048946380615234,-2.327439785003662,2.0858092308044434
25.458766666666666,763,7,6.535136699676514,3.9949140548706055,15.756403923034668,67.51988983154297,-4.246492862701416,1.7973114252090454
25.692333333333334,770,7,8.746593475341797,5.09121036529541,23.62828254699707,58.13863754272461,-7.649082183837891,-0.04340013489127159
25.925900000000002,777,7,15.288427352905273,22.65557861328125,28.774188995361328,34.66110610961914,-15.199078559875488,-0.5659127235412598
26.159466666666667,784,7,9.220827102661133,13.412144660949707,16.838794708251953,28.971670150756836,-9.154158592224121,-0.6533657312393188
26.393033333333335,791,7,7.025029182434082,9.896272659301758,12.598429679870605,24.736970901489258,-6.9657087326049805,-0.5580853223800659
26.6266,798,7,5.547410488128662,7.676508903503418,9.81351089477539,16.291278839111328,-5.4913811683654785,-0.5485467314720154
26.860166666666668,805,7,3.4491677284240723,4.6844000816345215,5.974160671234131,7.298538684844971,-3.403810501098633,-0.49597039818763733
27.093733333333333,812,7,1.8664947748184204,2.475637435913086,3.1520848274230957,4.088462829589844,-1.8004204034805298,-0.47306516766548157
27.3273,819,7,0.9175163507461548,1.2269432544708252,1.5204262733459473,2.009953737258911,-0.8067300319671631,-0.42950236797332764
27.560866666666666,826,7,0.5690784454345703,0.7603095769882202,0.9066279530525208,1.2095109224319458,-0.2982891798019409,-0.478414922952652
27.794433333333334,833,7,0.44504407048225403,0.5527009963989258,0.7690081596374512,1.044363260269165,0.053307224065065384,-0.436551034450531
28.028000000000002,840,7,0.5292511582374573,0.6518920063972473,0.9331690073013306,1.280875325202942,0.21896739304065704,-0.47635549306869507
28.261566666666667,847,7,0.47411057353019714,0.5822535753250122,0.8504974246025085,1.152066707611084,0.30177149176597595,-0.35302048921585083
28.495133333333335,854,7,0.4723569452762604,0.5695523023605347,0.8471498489379883,1.2038764953613281,0.31689774990081787,-0.32697615027427673
28.7287,861,7,0.4616234600543976,0.5419784188270569,0.8309842348098755,1.494834303855896,0.265079140663147,-0.3567315340042114
28.962266666666668,868,7,0.41290462017059326,0.47093862295150757,0.7707557678222656,1.1293761730194092,0.18128333985805511,-0.36159950494766235
29.195833333333333,875,7,0.44627609848976135,0.5070715546607971,0.8064380288124084,1.2070890665054321,0.2815554738044739,-0.33054518699645996
29.4294,882,7,0.41818276047706604,0.5037622451782227,0.7320798635482788,1.071829080581665,0.3111761212348938,-0.2632520794868469
29.662966666666666,889,7,0.2898193895816803,0.3451419174671173,0.509340226650238,1.1132670640945435,0.0960390716791153,-0.2559991180896759
29.896533333333334,896,7,0.5230496525764465,0.6436440944671631,0.8979377746582031,1.3551583290100098,0.3955071270465851,-0.3299117684364319
30.1301,903,7,0.42506998777389526,0.5160573720932007,0.7546508312225342,1.104588270187378,0.35632088780403137,-0.19950546324253082
30.363666666666667,910,7,0.41754069924354553,0.5068354606628418,0.7282232642173767,1.1695098876953125,0.382232129573822,-0.1478869616985321
30.597233333333335,917,7,0.4729110896587372,0.5916520953178406,0.7819225788116455,1.0668220520019531,0.4363725185394287,-0.15216252207756042
